Grapheme	Dataset	Absolute	Relative
ǁʔ	lapsyd	1	0.0001
ǀʰ	lapsyd	1	0.0001
ǀʔ	lapsyd	1	0.0001
wʱ	lapsyd	1	0.0001
ɲʱ	lapsyd	1	0.0001
iʌ	lapsyd	1	0.0001
ɯʌ	lapsyd	1	0.0001
uʌ	lapsyd	1	0.0001
ⁿʈʂʰ	lapsyd	1	0.0001
ⁿts̪	lapsyd	1	0.0001
ⁿkʰ	lapsyd	1	0.0001
ɛʉ	lapsyd	1	0.0001
ⁿtʃʰ	lapsyd	1	0.0001
ⁿt̪ʰ	lapsyd	1	0.0001
ⁿʈʂ	lapsyd	1	0.0001
ⁿq	lapsyd	1	0.0001
ⁿqʰ	lapsyd	1	0.0001
ⁿpʰ	lapsyd	1	0.0001
ⁿts̪ʰ	lapsyd	1	0.0001
tɬ̰	lapsyd	1	0.0001
øi	lapsyd	1	0.0001
ɺʲ	lapsyd	1	0.0001
ɸʲ	lapsyd	1	0.0001
ⁿbʲ	lapsyd	1	0.0001
ⁿβʲ	lapsyd	1	0.0001
ɠɓ	lapsyd	1	0.0001
s̪ˤ	lapsyd	1	0.0001
z̪ˤ	lapsyd	1	0.0001
vʱ	lapsyd	1	0.0001
ɽ̥	lapsyd	1	0.0001
n̰ʲ	lapsyd	1	0.0001
tsʼˤ	lapsyd	1	0.0001
tʃʼˤ	lapsyd	1	0.0001
ɬˤ	lapsyd	1	0.0001
kpʷ	lapsyd	1	0.0001
ŋmʷ	lapsyd	1	0.0001
ø̃	lapsyd	1	0.0001
ṛ	lapsyd	1	0.0001
t̰	lapsyd	1	0.0001
r̝̥	lapsyd	1	0.0001
e̤	lapsyd	1	0.0001
o̤	lapsyd	1	0.0001
ə̤	lapsyd	1	0.0001
ʉ̃ː	lapsyd	1	0.0001
ãẽ	lapsyd	1	0.0001
ãʉ̃	lapsyd	1	0.0001
d̰	lapsyd	1	0.0001
ɟ̰	lapsyd	1	0.0001
ɰ̰	lapsyd	1	0.0001
ø̃ː	lapsyd	1	0.0001
ʰtʃ	lapsyd	1	0.0001
tʳ	lapsyd	1	0.0001
nm	lapsyd	1	0.0001
tpʲ	lapsyd	1	0.0001
ⁿmʲ	lapsyd	1	0.0001
kⁿʷ	lapsyd	1	0.0001
t̠pʲ	lapsyd	1	0.0001
ⁿt̠p	lapsyd	1	0.0001
ⁿkʷ	lapsyd	1	0.0001
nmʲ	lapsyd	1	0.0001
ⁿtʲ	lapsyd	1	0.0001
ⁿt̠pʲ	lapsyd	1	0.0001
ⁿpʲ	lapsyd	1	0.0001
t̠ⁿ	lapsyd	1	0.0001
ⁿpʷ	lapsyd	1	0.0001
ⁿtp	lapsyd	1	0.0001
ⁿpʲʷ	lapsyd	1	0.0001
ⁿtpʲ	lapsyd	1	0.0001
kpⁿ	lapsyd	1	0.0001
ⁿkp	lapsyd	1	0.0001
βʳ	lapsyd	1	0.0001
ⁿt̠ʲ	lapsyd	1	0.0001
pʲʷ	lapsyd	1	0.0001
kⁿ	lapsyd	1	0.0001
t̠pⁿ	lapsyd	1	0.0001
t̠p	lapsyd	1	0.0001
mʲʷ	lapsyd	1	0.0001
r̠	lapsyd	1	0.0001
ⁿǁˀ	lapsyd	1	0.0001
ŋǂ	lapsyd	1	0.0001
ⁿǂ	lapsyd	1	0.0001
õã	lapsyd	1	0.0001
ⁿǃˀ	lapsyd	1	0.0001
ⁿǀˀ	lapsyd	1	0.0001
ⁿǂʰ	lapsyd	1	0.0001
ⁿǀ	lapsyd	1	0.0001
ⁿǁ	lapsyd	1	0.0001
ⁿǂˀ	lapsyd	1	0.0001
ũĩ	lapsyd	1	0.0001
ⁿǁʰ	lapsyd	1	0.0001
ⁿǀʰ	lapsyd	1	0.0001
ǂ	lapsyd	1	0.0001
ⁿǃʰ	lapsyd	1	0.0001
ⁿǃ	lapsyd	1	0.0001
əɯ	lapsyd	1	0.0001
ə˞	lapsyd	1	0.0001
ⁿtɕʲ	lapsyd	1	0.0001
l̃	lapsyd	1	0.0001
ṽ	lapsyd	1	0.0001
ʛ	lapsyd	1	0.0001
ɨ̞̃	lapsyd	1	0.0001
ɨ̞	lapsyd	1	0.0001
tɬ̪ʼ	lapsyd	1	0.0001
tɬ̪ʰ	lapsyd	1	0.0001
tɬ̪	lapsyd	1	0.0001
kxʷ	lapsyd	1	0.0001
tʶ	lapsyd	1	0.0001
pʷʰ	lapsyd	1	0.0001
ə̰	lapsyd	1	0.0001
ə̰̃	lapsyd	1	0.0001
ẽĩ	lapsyd	1	0.0001
õũ	lapsyd	1	0.0001
ⁿdz̪	lapsyd	1	0.0001
ⱱ	lapsyd	1	0.0001
dʑʲ	lapsyd	1	0.0001
sʲ	lapsyd	1	0.0001
ɹ̪ʲ	lapsyd	1	0.0001
æ̤	lapsyd	1	0.0001
ɛ̤	lapsyd	1	0.0001
ɔ̤	lapsyd	1	0.0001
ɗʲ	lapsyd	1	0.0001
ⁿz̪	lapsyd	1	0.0001
ʃˤ	lapsyd	1	0.0001
χˤ	lapsyd	1	0.0001
ʒˤ	lapsyd	1	0.0001
zʷ	lapsyd	1	0.0001
qʷʰ	lapsyd	1	0.0001
t̪ʷʰ	lapsyd	1	0.0001
tsʷʰ	lapsyd	1	0.0001
sʷ	lapsyd	1	0.0001
t̪ʷ	lapsyd	1	0.0001
ɨ̥	lapsyd	1	0.0001
ɛ̥	lapsyd	1	0.0001
tʼʲ	lapsyd	1	0.0001
ʂʼ	lapsyd	1	0.0001
ⁿʑ	lapsyd	1	0.0001
b̪	lapsyd	1	0.0001
ɳʱ	lapsyd	1	0.0001
l̪ʱ	lapsyd	1	0.0001
ɾʱ	lapsyd	1	0.0001
ĕ	lapsyd	1	0.0001
ŭ	lapsyd	1	0.0001
ŏ	lapsyd	1	0.0001
ă	lapsyd	1	0.0001
ɛ̆	lapsyd	1	0.0001
ə̆	lapsyd	1	0.0001
ɨ̆	lapsyd	1	0.0001
ɨa	lapsyd	1	0.0001
ĭ	lapsyd	1	0.0001
β̞ˠ	lapsyd	1	0.0001
ɨ̰̃	lapsyd	1	0.0001
ɨ̰	lapsyd	1	0.0001
ue	lapsyd	1	0.0001
ɴ	lapsyd	1	0.0001
rʲː	lapsyd	1	0.0001
rˠ	lapsyd	1	0.0001
d̪ʲʱ	lapsyd	1	0.0001
gʲʱ	lapsyd	1	0.0001
