SizeA,SizeB,Glottocode,Parameter,DataA,DataB
42.0,56.0,dutc1256,Sounds,JIPA,UZ
60.0,59.0,ersu1241,Sounds,JIPA,UZ
95.0,54.0,esto1258,Sounds,JIPA,UZ
47.0,47.0,port1283,Sounds,JIPA,UZ
35.0,36.0,stan1290,Sounds,JIPA,UZ
41.0,40.0,stan1295,Sounds,JIPA,UZ
42.0,42.0,haus1257,Sounds,JIPA,UZ
30.0,27.0,hebr1245,Sounds,JIPA,UZ
85.0,74.0,hind1269,Sounds,JIPA,UZ
50.0,50.0,iris1253,Sounds,JIPA,UZ
25.0,34.0,ladi1251,Sounds,JIPA,UZ
34.0,29.0,isth1244,Sounds,JIPA,UZ
22.0,21.0,nucl1643,Sounds,JIPA,UZ
20.0,22.0,keda1250,Sounds,JIPA,UZ
41.0,30.0,kera1255,Sounds,JIPA,UZ
48.0,48.0,kore1280,Sounds,JIPA,UZ
34.0,35.0,kumz1235,Sounds,JIPA,UZ
53.0,31.0,kuna1268,Sounds,JIPA,UZ
65.0,64.5,shix1238,Sounds,JIPA,UZ
58.0,59.0,sout2832,Sounds,JIPA,UZ
55.0,46.0,luxe1241,Sounds,JIPA,UZ
58.0,58.0,besi1244,Sounds,JIPA,UZ
54.0,53.0,nara1262,Sounds,JIPA,UZ
67.0,74.0,nepa1254,Sounds,JIPA,UZ
29.0,29.0,west2369,Sounds,JIPA,UZ
25.0,25.0,pitj1243,Sounds,JIPA,UZ
43.0,44.0,slov1269,Sounds,JIPA,UZ
40.0,40.0,sout2672,Sounds,JIPA,UZ
33.0,33.0,nucl1302,Sounds,JIPA,UZ
30.0,30.0,stan1306,Sounds,JIPA,UZ
23.0,32.0,mode1248,Sounds,JIPA,UZ
35.0,38.0,sumi1235,Sounds,JIPA,UZ
69.0,74.0,tach1250,Sounds,JIPA,UZ
23.0,23.0,taus1251,Sounds,JIPA,UZ
28.0,34.0,timn1235,Sounds,JIPA,UZ
58.0,50.0,tera1251,Sounds,JIPA,UZ
42.0,42.0,thai1261,Sounds,JIPA,UZ
37.0,36.0,nucl1301,Sounds,JIPA,UZ
55.0,56.0,swis1247,Sounds,JIPA,UZ
66.0,61.0,amha1245,Consonants,JIPA,UZ
29.0,29.0,stan1318,Consonants,JIPA,UZ
23.0,23.0,assa1263,Consonants,JIPA,UZ
17.0,18.0,bard1255,Consonants,JIPA,UZ
56.0,49.0,beng1280,Consonants,JIPA,UZ
24.0,24.0,stan1293,Consonants,JIPA,UZ
23.0,23.0,taji1245,Consonants,JIPA,UZ
22.0,23.0,bulg1262,Consonants,JIPA,UZ
48.0,27.0,east2379,Consonants,JIPA,UZ
30.0,30.0,cent2092,Consonants,JIPA,UZ
20.0,21.0,yuec1235,Consonants,JIPA,UZ
19.0,19.0,coco1260,Consonants,JIPA,UZ
24.0,20.0,dani1285,Consonants,JIPA,UZ
20.0,22.0,dutc1256,Consonants,JIPA,UZ
54.0,51.0,ersu1241,Consonants,JIPA,UZ
25.0,45.0,esto1258,Consonants,JIPA,UZ
19.0,19.0,port1283,Consonants,JIPA,UZ
21.0,21.0,stan1290,Consonants,JIPA,UZ
22.0,21.0,stan1295,Consonants,JIPA,UZ
32.0,32.0,haus1257,Consonants,JIPA,UZ
25.0,22.0,hebr1245,Consonants,JIPA,UZ
64.0,63.0,hind1269,Consonants,JIPA,UZ
35.0,35.0,iris1253,Consonants,JIPA,UZ
20.0,20.0,ladi1251,Consonants,JIPA,UZ
22.0,22.0,isth1244,Consonants,JIPA,UZ
17.0,16.0,nucl1643,Consonants,JIPA,UZ
17.0,18.0,keda1250,Consonants,JIPA,UZ
24.0,24.0,kera1255,Consonants,JIPA,UZ
20.0,20.0,kore1280,Consonants,JIPA,UZ
26.0,27.0,kumz1235,Consonants,JIPA,UZ
43.0,23.0,kuna1268,Consonants,JIPA,UZ
51.0,51.0,shix1238,Consonants,JIPA,UZ
20.0,20.0,sout2832,Consonants,JIPA,UZ
25.0,24.0,luxe1241,Consonants,JIPA,UZ
30.0,30.0,besi1244,Consonants,JIPA,UZ
42.0,43.0,nara1262,Consonants,JIPA,UZ
56.0,53.0,nepa1254,Consonants,JIPA,UZ
23.0,23.0,west2369,Consonants,JIPA,UZ
17.0,17.0,pitj1243,Consonants,JIPA,UZ
29.0,29.0,slov1269,Consonants,JIPA,UZ
29.0,29.0,sout2672,Consonants,JIPA,UZ
28.0,28.0,nucl1302,Consonants,JIPA,UZ
24.0,24.0,stan1306,Consonants,JIPA,UZ
18.0,27.0,mode1248,Consonants,JIPA,UZ
29.0,32.0,sumi1235,Consonants,JIPA,UZ
66.0,71.0,tach1250,Consonants,JIPA,UZ
20.0,20.0,taus1251,Consonants,JIPA,UZ
19.0,19.0,timn1235,Consonants,JIPA,UZ
43.0,35.0,tera1251,Consonants,JIPA,UZ
21.0,21.0,thai1261,Consonants,JIPA,UZ
25.0,24.0,nucl1301,Consonants,JIPA,UZ
26.0,27.0,swis1247,Consonants,JIPA,UZ
7.0,7.0,amha1245,Vowels,JIPA,UZ
